number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
35,0.4148452974039986,2025-01-10 22:40:23.537382,2025-01-10 22:43:19.466248,0 days 00:02:55.928866,54.286660496037264,0.22792591225025488,0.6445337831479063,0.5241465143722622,2.1319497488733283,63.290218876532634,0.13030675264340658,40,65,3270,0.6039535649402864,COMPLETE
36,0.3957966672274909,2025-01-10 22:41:03.145581,2025-01-10 22:43:03.715424,0 days 00:02:00.569843,55.87736519373517,0.21524404560552218,0.20989027416006487,0.5121587345550203,0.2851708899258938,59.212006345188605,0.12973592019568908,39,64,2201,0.6631804340129495,COMPLETE
37,0.4026699824612847,2025-01-10 22:41:04.841314,2025-01-10 22:43:32.835933,0 days 00:02:27.994619,56.6621933774169,0.2089493924375198,0.6655558463051702,0.48296625247410574,0.5506360611989232,58.66102567970973,0.14228729908238708,42,64,3264,0.6199818915696271,COMPLETE
38,0.4121357134181376,2025-01-10 22:41:16.707203,2025-01-10 22:42:57.715977,0 days 00:01:41.008774,3.306665313949531,0.4084953363869878,0.6221918340789897,0.2035391478359312,0.8566655009092576,59.571886917765525,0.13068550479834715,40,65,501,0.5719650729192217,COMPLETE
39,0.4348333026333418,2025-01-10 22:41:28.541690,2025-01-10 22:43:00.066517,0 days 00:01:31.524827,56.15858127603475,0.522076637630543,0.44338621696593605,0.2911825444274476,4.417113511513674,57.75012088047816,0.15199458736106128,53,68,583,0.5973457291122806,COMPLETE
40,0.4315825147418528,2025-01-10 22:41:31.731660,2025-01-10 22:43:13.380097,0 days 00:01:41.648437,56.64723619502409,0.6153655653564598,0.656787155321102,0.3089851742126906,5.168493077294648,56.789348660426064,0.1449393033186632,17,65,568,0.6258359819453155,COMPLETE
41,0.39251127413947223,2025-01-10 22:41:40.133012,2025-01-10 22:43:19.857444,0 days 00:01:39.724432,0.6696879119070047,0.5484470816373515,0.6467192911015966,0.30395897693792756,5.187821987312217,55.88493125732188,0.15154067797323514,18,64,554,0.5994271666261892,COMPLETE
42,0.4042684887300905,2025-01-10 22:41:45.060666,2025-01-10 22:43:59.287730,0 days 00:02:14.227064,10.94453987821252,0.5298678178912315,0.6512173550088755,0.3237696084902073,6.056565383064619,56.33787659260867,0.3219692714501057,20,65,2072,0.5952944143742995,COMPLETE
43,0.4137338457224489,2025-01-10 22:41:47.432658,2025-01-10 22:44:00.679022,0 days 00:02:13.246364,13.698730763529431,0.5114523926351823,0.6154848144969063,0.3098179618643788,5.123483607255743,56.49849669320327,0.32106637622806083,18,64,1815,0.5920562960758613,COMPLETE
44,0.41448408051708174,2025-01-10 22:41:52.734306,2025-01-10 22:43:32.269431,0 days 00:01:39.535125,14.110468879585994,0.5394772934163217,0.4308833891601686,0.2850845200142117,5.694434166485019,55.200893497886156,0.31597485628995914,19,42,557,0.5741835193878297,COMPLETE
45,0.404065845770256,2025-01-10 22:41:58.015516,2025-01-10 22:43:44.921109,0 days 00:01:46.905593,15.121056523771362,0.5393274805845798,0.42861082172274173,0.30775201162619203,5.245371408774564,74.53044491127544,0.31478729048602894,19,68,627,0.8427266002672754,COMPLETE
46,0.39551008418150885,2025-01-10 22:42:03.915102,2025-01-10 22:44:19.553641,0 days 00:02:15.638539,11.856874455919403,0.5181918040211928,0.42711557533013766,0.3122980286602316,5.375887748940199,50.920340119608554,0.16682846636238746,21,38,1825,0.8425006734610544,COMPLETE
47,0.40678880972397646,2025-01-10 22:42:35.187981,2025-01-10 22:44:17.138016,0 days 00:01:41.950035,14.394516017571487,0.5206787754176614,0.5987508183732614,0.31038784866091657,5.3568161679182875,76.29637316867594,0.311517768111295,15,39,1626,0.8483863559087625,COMPLETE
48,0.4080084801377644,2025-01-10 22:42:43.394298,2025-01-10 22:45:14.365466,0 days 00:02:30.971168,13.212823665507809,0.5263927130025584,0.5965897175654363,0.3080039877102265,5.48586633679002,73.75814170432305,0.17288136156696976,56,39,3238,0.8582199414518508,COMPLETE
49,0.40742717218083696,2025-01-10 22:42:57.715977,2025-01-10 22:45:21.347897,0 days 00:02:23.631920,12.68923879736022,0.5360064832772878,0.5877404953962603,0.29731694605937287,5.919871674216656,73.09134842560059,0.3290870998879246,55,42,3375,0.8605704569640847,COMPLETE
50,0.40363998798813233,2025-01-10 22:43:00.066517,2025-01-10 22:45:33.416272,0 days 00:02:33.349755,9.066369077352295,0.5367047307112188,0.7136819109658282,0.3672122371202678,6.185192210123422,73.34617105136627,0.3338993281554208,20,38,3271,0.8460203311168095,COMPLETE
51,0.4211825205419623,2025-01-10 22:43:03.715424,2025-01-10 22:45:43.238408,0 days 00:02:39.522984,13.738047732012035,0.5374755595852779,0.5815623542795728,0.3901115850341184,12.917351667409944,73.82787974145727,0.07430023656332277,18,40,3346,0.8464049326788131,COMPLETE
52,0.41538017447095044,2025-01-10 22:43:13.380097,2025-01-10 22:46:20.798552,0 days 00:03:07.418455,12.438125892103423,0.36368463258819705,0.5874960221932446,0.4232853110657856,12.86472839678178,79.57912971319914,0.06311938873292043,58,38,3213,0.8383620035037544,COMPLETE
53,0.40032767566618294,2025-01-10 22:43:19.468250,2025-01-10 22:46:08.497709,0 days 00:02:49.029459,12.63980740405999,0.5260355989787358,0.5705955192331198,0.3945462355019246,6.894635336233459,73.12341198020536,0.08703003480487614,59,40,1915,0.72607422116101,COMPLETE
54,0.39866221326707635,2025-01-10 22:43:19.859010,2025-01-10 22:46:03.700733,0 days 00:02:43.841723,13.442211535075709,0.5236997870239457,0.5861589243493943,0.3897388431104132,6.792917219910831,51.14223142734345,0.09573817696218577,18,40,1554,0.8392253430479484,COMPLETE
55,0.4079859349698937,2025-01-10 22:43:32.269431,2025-01-10 22:46:27.150541,0 days 00:02:54.881110,9.019220031102382,0.35159132285537764,0.5840275219045885,0.36487935535032384,11.50971886479926,71.58062384180798,0.08747020576824319,45,37,1819,0.8323514641841084,COMPLETE
56,0.4098909258785059,2025-01-10 22:43:32.837935,2025-01-10 22:46:29.805696,0 days 00:02:56.967761,8.774430995166378,0.3688869270192401,0.5830640629829447,0.3735836345354553,10.85510598600154,74.32752840060262,0.0925376619746953,13,72,1799,0.8310619028501967,COMPLETE
57,0.41113987460077267,2025-01-10 22:43:44.921109,2025-01-10 22:46:45.022867,0 days 00:03:00.101758,9.23265917362188,0.3658508951703776,0.5818110918515259,0.37987495332858107,10.939897851712143,49.9673166661931,0.06467151526010233,61,73,1623,0.7445183547056928,COMPLETE
58,0.41003776551200893,2025-01-10 22:43:59.287730,2025-01-10 22:47:46.172483,0 days 00:03:46.884753,7.105082044648074,0.7755483388633047,0.5795796930204753,0.38000795961945694,12.20572129004182,72.25006833735064,0.08182379584591373,26,38,3996,0.8493392695036476,COMPLETE
59,0.40539040385159636,2025-01-10 22:44:00.679022,2025-01-10 22:47:56.422172,0 days 00:03:55.743150,7.778776376263907,0.2791254077690749,0.7310929920186784,0.41150075572902867,10.537633008764116,70.83842190915857,0.09024371815450813,60,13,3846,0.7145636107083879,COMPLETE
60,0.4172441168257617,2025-01-10 22:44:17.138016,2025-01-10 22:48:00.052107,0 days 00:03:42.914091,7.2102301966205875,0.3313207696578347,0.5527487952926272,0.3817185947044656,13.168214159055468,71.07400644539193,0.09716448096653635,27,73,3729,0.7227247888164381,COMPLETE
61,0.4459361324715567,2025-01-10 22:44:19.553641,2025-01-10 22:46:59.613936,0 days 00:02:40.060295,45.45332441914096,0.36805406898874515,0.35025134766374844,0.39622734907481894,11.842148042325615,50.44427834732839,0.08614400922583755,4,16,1121,0.7318760545301723,COMPLETE
62,0.46150794453791405,2025-01-10 22:45:14.365466,2025-01-10 22:47:55.084159,0 days 00:02:40.718693,80.52202968656867,0.3688807829760586,0.5638591444365941,0.3764762779000562,11.867703206769017,50.80300601451914,0.10050210299804163,26,14,2265,0.7087464861614987,COMPLETE
63,0.44981020721716475,2025-01-10 22:45:21.349784,2025-01-10 22:48:00.415828,0 days 00:02:39.066044,43.550140278354434,0.3555815242067797,0.34755565567115865,0.3864107483721929,12.87585517567918,21.413753730812555,0.08806048312820029,3,30,1191,0.7284470427560885,COMPLETE
64,0.4375016387626321,2025-01-10 22:45:33.417275,2025-01-10 22:48:12.434198,0 days 00:02:39.016923,44.64222584582554,0.36780979251826057,0.3494072536056063,0.40214803438971897,13.130465009219998,49.25112091545239,0.09402850330467047,25,15,1160,0.999186915365482,COMPLETE
65,0.41840574906424494,2025-01-10 22:45:43.240411,2025-01-10 22:48:16.736152,0 days 00:02:33.495741,6.01597650963298,0.2679624958941169,0.3611512308479767,0.4419245451199822,13.390529971461461,50.55353752061106,0.10336294854930073,25,72,1220,0.7496148602670784,COMPLETE
66,0.40279005919707367,2025-01-10 22:46:03.702736,2025-01-10 22:48:50.798415,0 days 00:02:47.095679,6.503721100807022,0.3413736334731577,0.35271741973579407,0.44731941647695694,11.028728417959645,20.3578942291357,0.17720001978026662,26,14,2309,0.7320907086305346,COMPLETE
67,0.4321994576254095,2025-01-10 22:46:08.497709,2025-01-10 22:48:57.567960,0 days 00:02:49.070251,46.34795614080641,0.3521345199135251,0.3524413475607578,0.4580741842562084,10.474073025736297,18.87061627193739,0.1056347006251834,24,28,2319,0.9449773925744124,COMPLETE
