number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
475,0.6285726734053677,2025-01-04 21:36:58.313188,2025-01-04 21:37:26.218132,0 days 00:00:27.904944,720,log2,338,49,1109,COMPLETE
476,0.9450447310328802,2025-01-04 21:37:06.992093,2025-01-04 21:38:31.256659,0 days 00:01:24.264566,724,log2,1,54,1092,COMPLETE
477,0.9428517485767398,2025-01-04 21:37:13.538707,2025-01-04 21:38:34.649876,0 days 00:01:21.111169,720,log2,1,47,1070,COMPLETE
478,0.9406442430579761,2025-01-04 21:37:24.265008,2025-01-04 21:42:12.677894,0 days 00:04:48.412886,727,log2,1,44,5446,COMPLETE
479,0.9428372255141163,2025-01-04 21:37:26.232655,2025-01-04 21:39:11.811821,0 days 00:01:45.579166,721,log2,2,48,1483,COMPLETE
480,0.6285726734053677,2025-01-04 21:37:34.391968,2025-01-04 21:37:58.695821,0 days 00:00:24.303853,719,log2,369,47,1096,COMPLETE
481,0.9406442430579761,2025-01-04 21:37:46.072198,2025-01-04 21:39:32.424818,0 days 00:01:46.352620,680,log2,1,46,1532,COMPLETE
482,0.9406442430579761,2025-01-04 21:37:58.700904,2025-01-04 21:42:17.909285,0 days 00:04:19.208381,679,log2,1,49,5379,COMPLETE
483,0.9450447310328802,2025-01-04 21:38:02.101086,2025-01-04 21:42:27.783760,0 days 00:04:25.682674,681,log2,1,19,5904,COMPLETE
484,0.9450447310328802,2025-01-04 21:38:14.304270,2025-01-04 21:42:29.057752,0 days 00:04:14.753482,678,log2,1,19,5821,COMPLETE
485,0.9164197746020681,2025-01-04 21:38:29.151866,2025-01-04 21:40:01.179908,0 days 00:01:32.028042,648,log2,29,18,1483,COMPLETE
486,0.6285726734053677,2025-01-04 21:38:31.264165,2025-01-04 21:38:58.959684,0 days 00:00:27.695519,679,log2,27,813,1491,COMPLETE
487,0.9186127570582084,2025-01-04 21:38:34.655027,2025-01-04 21:40:04.272193,0 days 00:01:29.617166,679,log2,30,19,1465,COMPLETE
488,0.6285726734053677,2025-01-04 21:38:58.966794,2025-01-04 21:39:16.052065,0 days 00:00:17.085271,652,log2,481,2,845,COMPLETE
489,0.925206227489253,2025-01-04 21:39:11.816701,2025-01-04 21:40:06.626736,0 days 00:00:54.810035,678,log2,19,22,816,COMPLETE
490,0.9274137330080167,2025-01-04 21:39:16.062156,2025-01-04 21:40:17.687292,0 days 00:01:01.625136,681,log2,18,24,929,COMPLETE
491,0.9142267921459277,2025-01-04 21:39:32.431049,2025-01-04 21:40:27.304855,0 days 00:00:54.873806,649,log2,30,18,837,COMPLETE
492,0.6285726734053677,2025-01-04 21:40:01.186917,2025-01-04 21:40:20.515188,0 days 00:00:19.328271,682,log2,265,840,943,COMPLETE
493,0.925206227489253,2025-01-04 21:40:04.278696,2025-01-04 21:41:00.608691,0 days 00:00:56.329995,678,log2,19,19,917,COMPLETE
494,0.6285726734053677,2025-01-04 21:40:06.206096,2025-01-04 21:40:25.650745,0 days 00:00:19.444649,680,log2,18,899,899,COMPLETE
495,0.925206227489253,2025-01-04 21:40:06.633019,2025-01-04 21:40:56.810727,0 days 00:00:50.177708,652,log2,19,18,828,COMPLETE
496,0.925206227489253,2025-01-04 21:40:17.696680,2025-01-04 21:42:35.354773,0 days 00:02:17.658093,647,log2,19,2,5545,COMPLETE
497,0.925206227489253,2025-01-04 21:40:20.525197,2025-01-04 21:42:40.018693,0 days 00:02:19.493496,680,log2,19,18,6933,COMPLETE
498,0.9274137330080167,2025-01-04 21:40:25.657759,2025-01-04 21:42:40.596000,0 days 00:02:14.938241,651,log2,18,2,7176,COMPLETE
499,0.9296357615894039,2025-01-04 21:40:27.313965,2025-01-04 21:41:27.567792,0 days 00:01:00.253827,647,,15,17,1219,COMPLETE
